# SAXS profile: number of points = 505, q_min = 0.01125, q_max = 0.31771, delta_q = 0.000608055555555556
# offset = 0.00000000000000, scaling c = 1.88611609675033e-05, Chi = 1.23085176944733
#  q       exp_intensity   model_intensity
0.01125    711.58700000    699.52249064   
0.01186    693.08900000    696.09612453   
0.01247    688.16900000    692.46945853   
0.01307    690.18800000    688.81472178   
0.01368    696.17100000    684.87708419   
0.01429    684.25200000    680.82458961   
0.01490    682.83400000    676.64535630   
0.01551    678.37500000    672.27209706   
0.01612    671.21300000    667.81726503   
0.01672    663.31600000    663.26063546   
0.01733    666.13900000    658.51391141   
0.01794    657.76600000    653.67033224   
0.01855    649.94800000    648.71654877   
0.01916    653.19400000    643.62320447   
0.01976    638.29400000    638.47642905   
0.02037    639.46300000    633.13669610   
0.02098    622.64400000    627.72744232   
0.02159    624.35900000    622.15796195   
0.02220    618.54100000    616.53281987   
0.02280    611.24800000    610.89860919   
0.02341    599.57900000    605.07526710   
0.02402    596.38600000    599.20123278   
0.02463    590.03800000    593.20213021   
0.02524    587.65600000    587.15672948   
0.02584    579.59300000    581.14022746   
0.02645    574.44400000    574.94567700   
0.02706    569.63100000    568.71422289   
0.02767    560.83200000    562.39796909   
0.02828    556.14600000    556.04418506   
0.02889    544.46600000    549.64616898   
0.02949    541.98800000    543.29629349   
0.03010    531.70900000    536.81794665   
0.03071    529.12500000    530.29018529   
0.03132    521.10900000    523.79332978   
0.03193    517.34800000    517.21669055   
0.03254    508.46200000    510.60736441   
0.03314    503.81500000    504.09601631   
0.03375    494.96700000    497.45542196   
0.03436    490.96000000    490.80521799   
0.03497    484.91300000    484.14834067   
0.03558    477.14300000    477.48492132   
0.03618    472.16700000    470.93130099   
0.03679    463.04000000    464.27057793   
0.03740    457.89900000    457.61757522   
0.03801    451.62900000    450.96896640   
0.03862    442.15400000    444.34079929   
0.03922    435.47800000    437.83155023   
0.03983    429.13800000    431.23183010   
0.04044    423.27000000    424.70416491   
0.04105    416.40200000    418.14430561   
0.04166    412.34100000    411.62480185   
0.04226    402.22800000    405.23390709   
0.04287    397.83000000    398.76538971   
0.04348    390.86200000    392.34204783   
0.04409    384.39900000    385.94035598   
0.04470    379.83600000    379.59306182   
0.04530    373.27700000    373.38369430   
0.04591    365.43100000    367.10527452   
0.04652    360.93100000    360.89035335   
0.04713    352.10100000    354.70326275   
0.04774    347.81200000    348.61552471   
0.04835    340.16000000    342.53797821   
0.04895    334.71000000    336.59515308   
0.04956    329.84800000    330.63330535   
0.05017    322.89200000    324.70398448   
0.05078    317.32000000    318.84035771   
0.05139    314.37900000    313.03666687   
0.05199    306.98600000    307.36137424   
0.05260    300.93900000    301.68700260   
0.05321    296.83900000    296.04835793   
0.05382    290.65700000    290.47473258   
0.05443    285.98100000    285.00254358   
0.05504    279.44000000    279.53644797   
0.05564    275.51000000    274.25462862   
0.05625    266.83100000    268.92777010   
0.05686    263.12100000    263.66281884   
0.05747    257.42900000    258.47912345   
0.05808    252.40800000    253.33362838   
0.05868    248.50500000    248.36369211   
0.05929    243.50200000    243.36191218   
0.05990    238.53600000    238.44178466   
0.06051    233.61800000    233.58601263   
0.06112    229.88000000    228.76918664   
0.06173    224.96700000    224.03911499   
0.06233    220.62800000    219.44509153   
0.06294    217.04100000    214.82316740   
0.06355    210.77700000    210.29820964   
0.06416    207.60400000    205.81213255   
0.06477    203.20100000    201.40565631   
0.06537    197.58600000    197.15738826   
0.06598    195.17200000    192.85755658   
0.06659    190.05400000    188.66074902   
0.06720    185.54600000    184.50215343   
0.06781    180.52600000    180.41473306   
0.06841    178.02000000    176.46506342   
0.06902    172.86100000    172.48630818   
0.06963    170.35200000    168.60820990   
0.07024    165.96900000    164.78830081   
0.07085    161.74100000    161.01300686   
0.07146    158.02600000    157.31479610   
0.07206    154.63600000    153.71190656   
0.07267    150.91500000    150.14020407   
0.07328    147.24300000    146.61433135   
0.07389    143.70400000    143.14247228   
0.07450    139.56100000    139.76653257   
0.07510    137.40300000    136.46440455   
0.07571    132.98200000    133.18853471   
0.07632    130.63300000    129.96330618   
0.07693    126.76300000    126.78397135   
0.07754    124.35900000    123.68862751   
0.07814    120.77000000    120.67625718   
0.07875    118.40800000    117.69818133   
0.07936    114.61600000    114.76178765   
0.07997    112.16300000    111.86331664   
0.08058    109.25200000    109.05160115   
0.08118    107.11000000    106.31684468   
0.08179    103.21900000    103.59925784   
0.08240    101.63800000    100.93966811   
0.08301    98.35380000     98.32251654    
0.08362    95.74350000     95.78019964    
0.08422    93.33150000     93.31047920    
0.08483    91.17190000     90.85389260    
0.08544    88.71120000     88.45813084    
0.08605    87.01300000     86.09266345    
0.08666    84.20930000     83.81231220    
0.08727    81.62190000     81.55874162    
0.08787    79.58190000     79.38676466    
0.08848    77.23500000     77.24163358    
0.08909    75.84230000     75.12518953    
0.08970    72.73920000     73.07583819    
0.09031    71.30110000     71.07334982    
0.09091    68.64660000     69.13324114    
0.09152    66.82310000     67.22527457    
0.09213    65.02960000     65.34432487    
0.09274    63.14690000     63.52192537    
0.09335    61.74360000     61.74115764    
0.09395    59.65850000     60.02642134    
0.09456    58.66780000     58.34178886    
0.09517    56.50300000     56.68242888    
0.09578    54.83820000     55.07336821    
0.09639    53.11300000     53.50789557    
0.09699    51.40330000     51.99791104    
0.09760    50.29720000     50.52232097    
0.09821    48.42190000     49.07021097    
0.09882    47.48420000     47.66074683    
0.09943    46.03120000     46.29582818    
0.10004    44.78420000     44.95360403    
0.10064    43.29170000     43.69486714    
0.10125    42.48550000     42.43484255    
0.10186    41.10300000     41.21032760    
0.10247    40.15570000     40.03070058    
0.10308    38.62080000     38.87188809    
0.10368    37.64920000     37.78469627    
0.10429    36.69640000     36.70132882    
0.10490    35.78980000     35.64692673    
0.10551    34.77870000     34.63682102    
0.10612    33.99200000     33.64559001    
0.10673    32.71910000     32.69951563    
0.10733    31.74750000     31.79229919    
0.10794    31.12290000     30.89237245    
0.10855    30.11950000     30.03584895    
0.10916    29.49370000     29.19622836    
0.10977    28.61250000     28.39393998    
0.11037    28.10770000     27.62879773    
0.11098    27.11790000     26.86805363    
0.11159    26.33510000     26.14874222    
0.11220    25.55380000     25.44435933    
0.11281    25.02790000     24.77042104    
0.11341    24.06330000     24.13139421    
0.11402    23.65810000     23.49549197    
0.11463    23.04100000     22.89610490    
0.11524    22.22010000     22.31091470    
0.11585    21.59590000     21.75000728    
0.11646    21.19400000     21.21272621    
0.11706    20.29870000     20.69582247    
0.11767    20.01320000     20.19961702    
0.11828    19.53450000     19.71994825    
0.11889    19.34360000     19.25497419    
0.11950    18.84650000     18.81419232    
0.12010    18.19790000     18.39049902    
0.12071    17.98700000     17.98326786    
0.12132    17.27640000     17.59181853    
0.12193    17.34000000     17.21091357    
