# SAXS profile: number of points = 505, q_min = 0.01125, q_max = 0.31771, delta_q = 0.000608055555555556
# offset = 0.00000000000000, scaling c = 1.89887869884560e-05, Chi = 1.54275238513947
#  q       exp_intensity   model_intensity
0.01125    711.58700000    706.30507892   
0.01186    693.08900000    702.72217224   
0.01247    688.16900000    698.93161068   
0.01307    690.18800000    695.11252164   
0.01368    696.17100000    691.00018280   
0.01429    684.25200000    686.76934383   
0.01490    682.83400000    682.40774610   
0.01551    678.37500000    677.84654574   
0.01612    671.21300000    673.20156740   
0.01672    663.31600000    668.45344361   
0.01733    666.13900000    663.50952773   
0.01794    657.76600000    658.46663044   
0.01855    649.94800000    653.31031316   
0.01916    653.19400000    648.01340307   
0.01976    638.29400000    642.66455391   
0.02037    639.46300000    637.11846611   
0.02098    622.64400000    631.50226514   
0.02159    624.35900000    625.72537600   
0.02220    618.54100000    619.89298261   
0.02280    611.24800000    614.05526722   
0.02341    599.57900000    608.02603720   
0.02402    596.38600000    601.94668718   
0.02463    590.03800000    595.74463712   
0.02524    587.65600000    589.49760803   
0.02584    579.59300000    583.28478335   
0.02645    574.44400000    576.89375206   
0.02706    569.63100000    570.46741844   
0.02767    560.83200000    563.96081484   
0.02828    556.14600000    557.41934122   
0.02889    544.46600000    550.83677078   
0.02949    541.98800000    544.31057359   
0.03010    531.70900000    537.65532646   
0.03071    529.12500000    530.95664027   
0.03132    521.10900000    524.29259644   
0.03193    517.34800000    517.55271712   
0.03254    508.46200000    510.78744495   
0.03314    503.81500000    504.12562340   
0.03375    494.96700000    497.33868214   
0.03436    490.96000000    490.54747394   
0.03497    484.91300000    483.75330258   
0.03558    477.14300000    476.96148059   
0.03618    472.16700000    470.28484183   
0.03679    463.04000000    463.50575603   
0.03740    457.89900000    456.74079234   
0.03801    451.62900000    449.98374515   
0.03862    442.15400000    443.25684243   
0.03922    435.47800000    436.65404572   
0.03983    429.13800000    429.96548681   
0.04044    423.27000000    423.35571994   
0.04105    416.40200000    416.71769818   
0.04166    412.34100000    410.12900729   
0.04226    402.22800000    403.67417089   
0.04287    397.83000000    397.14611204   
0.04348    390.86200000    390.67067165   
0.04409    384.39900000    384.22025319   
0.04470    379.83600000    377.83206774   
0.04530    373.27700000    371.58685668   
0.04591    365.43100000    365.27644632   
0.04652    360.93100000    359.03682885   
0.04713    352.10100000    352.82805358   
0.04774    347.81200000    346.72472539   
0.04835    340.16000000    340.63641565   
0.04895    334.71000000    334.68626136   
0.04956    329.84800000    328.72371577   
0.05017    322.89200000    322.79621964   
0.05078    317.32000000    316.93938604   
0.05139    314.37900000    311.14658198   
0.05199    306.98600000    305.48426904   
0.05260    300.93900000    299.82892191   
0.05321    296.83900000    294.21125873   
0.05382    290.65700000    288.66215742   
0.05443    285.98100000    283.21765854   
0.05504    279.44000000    277.78128302   
0.05564    275.51000000    272.53272586   
0.05625    266.83100000    267.24127749   
0.05686    263.12100000    262.01403114   
0.05747    257.42900000    256.87062895   
0.05808    252.40800000    251.76657685   
0.05868    248.50500000    246.83987240   
0.05929    243.50200000    241.88318249   
0.05990    238.53600000    237.00918414   
0.06051    233.61800000    232.20138147   
0.06112    229.88000000    227.43313415   
0.06173    224.96700000    222.75283581   
0.06233    220.62800000    218.20833746   
0.06294    217.04100000    213.63723612   
0.06355    210.77700000    209.16369670   
0.06416    207.60400000    204.72917183   
0.06477    203.20100000    200.37444160   
0.06537    197.58600000    196.17688754   
0.06598    195.17200000    191.92873791   
0.06659    190.05400000    187.78319831   
0.06720    185.54600000    183.67562659   
0.06781    180.52600000    179.63875851   
0.06841    178.02000000    175.73814296   
0.06902    172.86100000    171.80890384   
0.06963    170.35200000    167.97913833   
0.07024    165.96900000    164.20690512   
0.07085    161.74100000    160.47848431   
0.07146    158.02600000    156.82591410   
0.07206    154.63600000    153.26734386   
0.07267    150.91500000    149.73907336   
0.07328    147.24300000    146.25573411   
0.07389    143.70400000    142.82534954   
